target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,split_method,model_family,cv_iter,fold,comparison_label
HLM,2992,748,0.430443871099808,0.3305960595130996,0.5389534534067832,0.5507517671343928,5.553217243355568e-112,Scaffold,RF_ECFP4,0,0,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.5019006129155762,0.371158088573116,0.603311080424771,0.5646670133632727,4.59326254682038e-118,Scaffold,RF_ECFP4,0,0,MLM_RF_ECFP4_Scaffold
HLM,2991,749,0.4334013652523287,0.3299292070493754,0.5525771834321832,0.567217663170885,4.8152531313076786e-119,Scaffold,RF_ECFP4,0,1,HLM_RF_ECFP4_Scaffold
MLM,2991,749,0.4612483892368933,0.3438765209339661,0.5466015704983171,0.5307329104751968,9.918350646137448e-105,Scaffold,RF_ECFP4,0,1,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4406440440213323,0.335250287665106,0.4202807815054188,0.4738090579630146,1.9378519028904458e-83,Scaffold,RF_ECFP4,0,2,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.4920308696307069,0.3582665018528734,0.5453274040093197,0.5221068888324408,4.050687248771796e-101,Scaffold,RF_ECFP4,0,2,MLM_RF_ECFP4_Scaffold
HLM,2991,749,0.4476782682248736,0.3341915398899751,0.5097604930533882,0.5388604474111712,1.6935256455558497e-107,Scaffold,RF_ECFP4,0,3,HLM_RF_ECFP4_Scaffold
MLM,2991,749,0.5081905390953543,0.370377083578386,0.5445611800417621,0.5394667032514543,4.276566519759794e-108,Scaffold,RF_ECFP4,0,3,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4907589745581275,0.3641215565446069,0.3945929606919729,0.4639366332361381,5.0567355422004735e-80,Scaffold,RF_ECFP4,0,4,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.454650770906592,0.3428616347376999,0.479187602651816,0.4938592446500983,1.052878539394577e-90,Scaffold,RF_ECFP4,0,4,MLM_RF_ECFP4_Scaffold
HLM,2992,748,0.4208354246535994,0.3194387527735624,0.513479006181555,0.5340057526321657,1.3113684195386742e-105,Scaffold,RF_ECFP4,1,0,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.4389208399837998,0.3287545574940163,0.6554671242336556,0.5856622853164656,6.953728280122589e-127,Scaffold,RF_ECFP4,1,0,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4371646713859924,0.3283077992159135,0.5238502039696619,0.5450684995258775,8.727016384550261e-110,Scaffold,RF_ECFP4,1,1,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.4836878310214847,0.3634359414668497,0.5214899638144679,0.5193666290317103,4.236175709004186e-100,Scaffold,RF_ECFP4,1,1,MLM_RF_ECFP4_Scaffold
HLM,2991,749,0.4479487385395684,0.3452635108295007,0.4937745200516663,0.5247345618251429,4.545482148031367e-102,Scaffold,RF_ECFP4,1,2,HLM_RF_ECFP4_Scaffold
MLM,2991,749,0.5224290979238064,0.3819182319445606,0.4694684994742589,0.5111733601380299,2.7935113125552923e-97,Scaffold,RF_ECFP4,1,2,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4839449702044389,0.3624066726399588,0.4551603278155232,0.4972735234576774,1.4409871746108994e-91,Scaffold,RF_ECFP4,1,3,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.491962847580717,0.3623348189773823,0.6081151027390901,0.5612908962672735,1.561126735118875e-116,Scaffold,RF_ECFP4,1,3,MLM_RF_ECFP4_Scaffold
HLM,2991,749,0.4440176875883174,0.3330972678281031,0.4745116974437051,0.5249028754977891,4.106020126321037e-102,Scaffold,RF_ECFP4,1,4,HLM_RF_ECFP4_Scaffold
MLM,2991,749,0.4620810578245991,0.3386583325633365,0.5123073750915242,0.5147970109467523,1.209796391818413e-98,Scaffold,RF_ECFP4,1,4,MLM_RF_ECFP4_Scaffold
HLM,2994,746,0.4503924687126054,0.3296307156551946,0.4398683602897453,0.4999968099356969,1.4436572577677703e-92,Scaffold,RF_ECFP4,2,0,HLM_RF_ECFP4_Scaffold
MLM,2994,746,0.4745468734301339,0.344866013905117,0.5165733902345979,0.526583089694852,1.0360093724929539e-102,Scaffold,RF_ECFP4,2,0,MLM_RF_ECFP4_Scaffold
HLM,2995,745,0.4308415573253572,0.3251993291406887,0.5331365785946338,0.5563655733681137,5.383969788073409e-114,Scaffold,RF_ECFP4,2,1,HLM_RF_ECFP4_Scaffold
MLM,2995,745,0.4815336267612305,0.3637626411923078,0.5997244905209504,0.5450299537630683,1.0054556441318889e-109,Scaffold,RF_ECFP4,2,1,MLM_RF_ECFP4_Scaffold
HLM,2982,758,0.4563882694340344,0.3450530446673815,0.4812384972924093,0.5087928003417449,2.8077327883098515e-97,Scaffold,RF_ECFP4,2,2,HLM_RF_ECFP4_Scaffold
MLM,2982,758,0.4767352640457977,0.3567375370792512,0.5486282301889054,0.5379530833287014,8.299487245651234e-109,Scaffold,RF_ECFP4,2,2,MLM_RF_ECFP4_Scaffold
HLM,2994,746,0.4343439448259077,0.3401559424097172,0.4900619857859819,0.509865434590813,3.792509061034657e-96,Scaffold,RF_ECFP4,2,3,HLM_RF_ECFP4_Scaffold
MLM,2994,746,0.4673568511165971,0.3409931569492528,0.4920220617846713,0.5280375177806235,2.79988893784088e-103,Scaffold,RF_ECFP4,2,3,MLM_RF_ECFP4_Scaffold
HLM,2995,745,0.467513220610535,0.3569818557747109,0.5001019937042794,0.5445883888771659,6.497641694985155e-109,Scaffold,RF_ECFP4,2,4,HLM_RF_ECFP4_Scaffold
MLM,2995,745,0.4866408147501142,0.3604604100609844,0.6284684627751649,0.5742651659397209,1.4955184762507231e-121,Scaffold,RF_ECFP4,2,4,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4468568159906384,0.3326778065378303,0.5218049127863179,0.5724256656808255,1.5559142827789862e-120,Scaffold,RF_ECFP4,3,0,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.509907219542812,0.3737867268180553,0.5593973890376459,0.5712680543355254,1.1657370951743787e-120,Scaffold,RF_ECFP4,3,0,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4608166429587624,0.33758194924015,0.4142691939049757,0.4862991997028799,8.300333801237556e-88,Scaffold,RF_ECFP4,3,1,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.4728198452844539,0.3423726891192994,0.4901587185717334,0.4830075452029813,7.720228853889631e-87,Scaffold,RF_ECFP4,3,1,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4431630802295923,0.3365151025496204,0.4552834325527956,0.4992366446848298,2.3271107842338162e-92,Scaffold,RF_ECFP4,3,2,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.4543993173750575,0.3300327136311466,0.6204160960648704,0.5583488523253172,2.303242487259296e-115,Scaffold,RF_ECFP4,3,2,MLM_RF_ECFP4_Scaffold
HLM,2990,750,0.4670779200636468,0.3527668627880875,0.534418822838683,0.5591452703140171,8.940789079879509e-116,Scaffold,RF_ECFP4,3,3,HLM_RF_ECFP4_Scaffold
MLM,2990,750,0.4945195095603091,0.3717680018900934,0.5509187733814457,0.5379157386521799,1.1671052754606068e-107,Scaffold,RF_ECFP4,3,3,MLM_RF_ECFP4_Scaffold
HLM,2991,749,0.4355162242870705,0.3360380118435879,0.4470994131043883,0.4827688038099855,9.407098150288765e-87,Scaffold,RF_ECFP4,3,4,HLM_RF_ECFP4_Scaffold
MLM,2991,749,0.479851331742058,0.3669441936073287,0.5353863829756391,0.5147784798236321,1.2706881110623239e-98,Scaffold,RF_ECFP4,3,4,MLM_RF_ECFP4_Scaffold
HLM,2991,749,0.4440105853450297,0.3262709629371522,0.5017055016405128,0.5468273572860011,1.1153593514276465e-110,Scaffold,RF_ECFP4,4,0,HLM_RF_ECFP4_Scaffold
MLM,2991,749,0.4875348437658889,0.3593902700663132,0.5548674457435852,0.5391307840857578,5.480508697435154e-108,Scaffold,RF_ECFP4,4,0,MLM_RF_ECFP4_Scaffold
HLM,2992,748,0.4254936544827367,0.3265381786343705,0.5194887401905026,0.5340368810962568,1.302535175010527e-105,Scaffold,RF_ECFP4,4,1,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.5026631799842683,0.3723412814012685,0.5128281461352429,0.5198761993120465,2.09255227979579e-100,Scaffold,RF_ECFP4,4,1,MLM_RF_ECFP4_Scaffold
HLM,2992,748,0.4473458049247966,0.3381256379596368,0.5251528909588945,0.5375036297579193,1.068002994583528e-106,Scaffold,RF_ECFP4,4,2,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.5013495014880985,0.3676475750182942,0.5877413839732848,0.5720316790310427,3.9099195173369775e-121,Scaffold,RF_ECFP4,4,2,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4373978338304959,0.3229583307017702,0.3926965303244358,0.4630134682987854,8.76365369782754e-80,Scaffold,RF_ECFP4,4,3,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.4392884265716983,0.3290729448911118,0.542982609100588,0.5115652119360882,3.5783934255092107e-97,Scaffold,RF_ECFP4,4,3,MLM_RF_ECFP4_Scaffold
HLM,2992,748,0.4916701594803038,0.3759260986260572,0.4654163542126596,0.5266914598746476,1.1959634381260452e-102,Scaffold,RF_ECFP4,4,4,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.4814062355656207,0.3534627278094893,0.5439051419813328,0.5250989072796928,2.0690569519154077e-102,Scaffold,RF_ECFP4,4,4,MLM_RF_ECFP4_Scaffold
